epoch,lr-Adam,lr-Adam-1,lr-Adam-2,step,train/train-hr-domain-acc,train/train-hr-domain-acc-africa,train/train-hr-domain-acc-americas,train/train-hr-domain-acc-asia,train/train-hr-domain-acc-europe,train/train-hr-domain-acc-oceania,train/train-hr-domain-acc-other,train/train-hr-domain-loss,train/train-lr-domain-acc,train/train-lr-domain-acc-africa,train/train-lr-domain-acc-americas,train/train-lr-domain-acc-asia,train/train-lr-domain-acc-europe,train/train-lr-domain-acc-oceania,train/train-lr-domain-acc-other,train/train-lr-domain-loss,train/train-task-acc,train/train-task-loss,val/val-id-hr-domain-acc,val/val-id-hr-domain-acc-africa,val/val-id-hr-domain-acc-americas,val/val-id-hr-domain-acc-asia,val/val-id-hr-domain-acc-europe,val/val-id-hr-domain-acc-oceania,val/val-id-lr-domain-acc,val/val-id-lr-domain-acc-africa,val/val-id-lr-domain-acc-americas,val/val-id-lr-domain-acc-asia,val/val-id-lr-domain-acc-europe,val/val-id-lr-domain-acc-oceania,val/val-id-region-africa-task-acc,val/val-id-region-africa-task-loss,val/val-id-region-americas-task-acc,val/val-id-region-americas-task-loss,val/val-id-region-asia-task-acc,val/val-id-region-asia-task-loss,val/val-id-region-europe-task-acc,val/val-id-region-europe-task-loss,val/val-id-region-oceania-task-acc,val/val-id-region-oceania-task-loss,val/val-id-task-acc,val/val-id-task-ece,val/val-id-task-entropy-correct,val/val-id-task-entropy-incorrect,val/val-id-task-loss,val/val-id-worst-group-task-acc,val/val-od-hr-domain-acc,val/val-od-hr-domain-acc-africa,val/val-od-hr-domain-acc-americas,val/val-od-hr-domain-acc-asia,val/val-od-hr-domain-acc-europe,val/val-od-hr-domain-acc-oceania,val/val-od-lr-domain-acc,val/val-od-lr-domain-acc-africa,val/val-od-lr-domain-acc-americas,val/val-od-lr-domain-acc-asia,val/val-od-lr-domain-acc-europe,val/val-od-lr-domain-acc-oceania,val/val-od-region-africa-task-acc,val/val-od-region-africa-task-loss,val/val-od-region-americas-task-acc,val/val-od-region-americas-task-loss,val/val-od-region-asia-task-acc,val/val-od-region-asia-task-loss,val/val-od-region-europe-task-acc,val/val-od-region-europe-task-loss,val/val-od-region-oceania-task-acc,val/val-od-region-oceania-task-loss,val/val-od-task-acc,val/val-od-task-ece,val/val-od-task-entropy-correct,val/val-od-task-entropy-incorrect,val/val-od-task-loss,val/val-od-worst-group-task-acc
,2e-05,1e-05,1e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,960,,,,,,,,,,,,,,,,,,,0.492902547121048,0.0,0.2048114389181137,0.10545859485864639,0.9009111523628235,0.0,0.9574152827262878,0.0,1.0,0.9424433708190918,0.9975322484970093,0.49800798296928406,0.5736842155456543,2.0395476818084717,0.46976593136787415,2.3375964164733887,0.44745635986328125,2.5459837913513184,0.46108579635620117,2.6212103366851807,0.5737051963806152,2.0330822467803955,0.4645998477935791,0.23295459151268005,0.529291570186615,1.3258476257324219,2.508922815322876,0.44745635986328125,0.4348480999469757,0.0,0.21045413613319397,0.09997573494911194,0.8881272673606873,0.0,0.9210644960403442,0.0,1.0,0.9725794792175293,0.9645628333091736,0.4545454680919647,0.34371107816696167,2.8620290756225586,0.4353855550289154,2.588468551635742,0.4387284517288208,2.6240622997283936,0.4985773265361786,2.4429538249969482,0.5079365372657776,2.170971155166626,0.45945268869400024,0.2337585985660553,0.5220299363136292,1.3637701272964478,2.5364935398101807,0.34371107816696167
0,,,,960,0.3999323546886444,0.07901390641927719,0.29919421672821045,0.15997529029846191,0.6172162294387817,0.0012187690008431673,0.0,1.3787686824798584,0.9408687949180603,0.06890012323856354,0.9726791381835938,0.9555842280387878,0.9761604070663452,0.4899451434612274,0.02380952425301075,0.2777579724788666,0.27143099904060364,2.9684524536132812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,1e-05,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,1921,,,,,,,,,,,,,,,,,,,0.5589131712913513,0.0,0.345578670501709,0.273672491312027,0.8766134977340698,0.0,0.9726552367210388,0.14210526645183563,1.0,0.9806906580924988,0.9975322484970093,0.6772908568382263,0.6157894730567932,2.041916847229004,0.5864759683609009,1.9882725477218628,0.5581136345863342,2.317394971847534,0.5360668301582336,2.518934965133667,0.6812748908996582,1.9699643850326538,0.5592615008354187,0.24016988277435303,0.3067139983177185,0.9645943641662598,2.307777166366577,0.5360668301582336,0.5105196833610535,0.0,0.3409021496772766,0.3035670816898346,0.8638127446174622,0.0,0.9475269913673401,0.23163138329982758,1.0,0.9934481978416443,0.9645628333091736,0.822510838508606,0.4259028732776642,2.966583251953125,0.5350502729415894,2.370737075805664,0.5224460363388062,2.5652780532836914,0.5768235921859741,2.2818245887756348,0.5959596037864685,2.2123489379882812,0.5463720560073853,0.24932722747325897,0.31413984298706055,0.968683660030365,2.395254373550415,0.4259028732776642
1,,,,1921,0.461893230676651,0.039506953209638596,0.28503313660621643,0.17609074711799622,0.7561178803443909,0.0006093845004215837,0.0,1.128501057624817,0.9574047327041626,0.20796459913253784,0.9856720566749573,0.9717839360237122,0.9858254790306091,0.5837903618812561,0.011904762126505375,0.09894689917564392,0.5286939144134521,1.7562719583511353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,1e-05,1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,2882,,,,,,,,,,,,,,,,,,,0.5999303460121155,0.0,0.4174252152442932,0.3590790927410126,0.8804100155830383,0.0,0.978925347328186,0.1894736886024475,1.0,0.9936873316764832,0.9969627857208252,0.8007968068122864,0.6578947305679321,1.939870834350586,0.6085825562477112,1.99775230884552,0.5855922698974609,2.2714693546295166,0.5582764148712158,2.6351146697998047,0.7131474018096924,1.9465447664260864,0.583297073841095,0.24929344654083252,0.23779459297657013,0.8402596712112427,2.3501694202423096,0.5582764148712158,0.5497865676879883,0.0,0.39942091703414917,0.38704198598861694,0.8707966804504395,0.0,0.9511925578117371,0.2876712381839752,1.0,0.9949041604995728,0.9631401896476746,0.8701298832893372,0.4682440757751465,2.887153148651123,0.5559280514717102,2.3508269786834717,0.5452560186386108,2.5370888710021973,0.6047594547271729,2.345491886138916,0.6406926512718201,2.1954987049102783,0.5720813274383545,0.2549479901790619,0.24939292669296265,0.8500108122825623,2.4038641452789307,0.4682440757751465
2,,,,2882,0.5006917119026184,0.026337968185544014,0.3164544999599457,0.22366967797279358,0.7991153597831726,0.00040625635301694274,0.0,1.0432069301605225,0.966399073600769,0.3417614698410034,0.9902414083480835,0.9774458408355713,0.9889993071556091,0.689010739326477,0.007936508394777775,0.06849078088998795,0.6088625192642212,1.4209014177322388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,1e-05,2883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
