epoch,lr-Adam,step,test/test-id-region-africa-task-acc,test/test-id-region-africa-task-loss,test/test-id-region-americas-task-acc,test/test-id-region-americas-task-loss,test/test-id-region-asia-task-acc,test/test-id-region-asia-task-loss,test/test-id-region-europe-task-acc,test/test-id-region-europe-task-loss,test/test-id-region-oceania-task-acc,test/test-id-region-oceania-task-loss,test/test-id-task-acc,test/test-id-task-ece,test/test-id-task-entropy-correct,test/test-id-task-entropy-incorrect,test/test-id-task-loss,test/test-id-worst-group-task-acc,test/test-od-region-africa-task-acc,test/test-od-region-africa-task-loss,test/test-od-region-americas-task-acc,test/test-od-region-americas-task-loss,test/test-od-region-asia-task-acc,test/test-od-region-asia-task-loss,test/test-od-region-europe-task-acc,test/test-od-region-europe-task-loss,test/test-od-region-oceania-task-acc,test/test-od-region-oceania-task-loss,test/test-od-task-acc,test/test-od-task-ece,test/test-od-task-entropy-correct,test/test-od-task-entropy-incorrect,test/test-od-task-loss,test/test-od-worst-group-task-acc,train/d3g-consistency-loss,train/train-task-acc,train/train-task-loss,train/train-total-loss,val/val-id-region-africa-task-acc,val/val-id-region-africa-task-loss,val/val-id-region-americas-task-acc,val/val-id-region-americas-task-loss,val/val-id-region-asia-task-acc,val/val-id-region-asia-task-loss,val/val-id-region-europe-task-acc,val/val-id-region-europe-task-loss,val/val-id-region-oceania-task-acc,val/val-id-region-oceania-task-loss,val/val-id-task-acc,val/val-id-task-ece,val/val-id-task-entropy-correct,val/val-id-task-entropy-incorrect,val/val-id-task-loss,val/val-id-worst-group-task-acc,val/val-od-region-africa-task-acc,val/val-od-region-africa-task-loss,val/val-od-region-americas-task-acc,val/val-od-region-americas-task-loss,val/val-od-region-asia-task-acc,val/val-od-region-asia-task-loss,val/val-od-region-europe-task-acc,val/val-od-region-europe-task-loss,val/val-od-region-oceania-task-acc,val/val-od-region-oceania-task-loss,val/val-od-task-acc,val/val-od-task-ece,val/val-od-task-entropy-correct,val/val-od-task-entropy-incorrect,val/val-od-task-loss,val/val-od-worst-group-task-acc
,2e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057894736528396606,3.9246327877044678,0.058842651546001434,3.8774681091308594,0.1050872653722763,3.825263500213623,0.1345861852169037,3.722311019897461,0.05179283022880554,3.8321380615234375,0.10424105077981949,0.035061005502939224,3.8565382957458496,3.8852741718292236,3.7956392765045166,0.05179283022880554,0.04607721045613289,3.974639654159546,0.04907040670514107,3.919790267944336,0.07862169295549393,3.8333892822265625,0.19800828397274017,3.6509151458740234,0.06060606241226196,3.8802695274353027,0.11328144371509552,0.044919781386852264,3.851330280303955,3.8937227725982666,3.798656702041626,0.04607721045613289
0,,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.43914031982422,0.07357245683670044,3.929265022277832,14.646888732910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.6e-05,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30000001192092896,3.523141384124756,0.08777633309364319,3.7253849506378174,0.1581878960132599,3.5463857650756836,0.17084282636642456,3.4831156730651855,0.09163346886634827,3.6382052898406982,0.145954892039299,0.051513005048036575,3.6247260570526123,3.805180072784424,3.5687835216522217,0.08777633309364319,0.09589041024446487,3.793215274810791,0.0716245025396347,3.793848752975464,0.1412278562784195,3.5733675956726074,0.22697879374027252,3.373579502105713,0.07070706784725189,3.7223238945007324,0.1472759246826172,0.05030770227313042,3.584284543991089,3.809713840484619,3.582824468612671,0.07070706784725189
1,,1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8624069690704346,0.11891286820173264,3.69687819480896,5.628054141998291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.2000000000000004e-05,1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4526315927505493,2.427057981491089,0.18010403215885162,3.4633800983428955,0.23208317160606384,3.1688554286956787,0.2164009064435959,3.190002202987671,0.16733068227767944,3.3200156688690186,0.21309761703014374,0.07641281187534332,3.2117362022399902,3.700518846511841,3.2505698204040527,0.16733068227767944,0.22789539396762848,3.447423219680786,0.14081072807312012,3.561293363571167,0.2196068912744522,3.201184034347534,0.27004656195640564,3.052121162414551,0.11976911872625351,3.465772867202759,0.21009290218353271,0.0702136978507042,3.195338726043701,3.699427366256714,3.2814366817474365,0.11976911872625351
2,,2882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.621751070022583,0.16976958513259888,3.426823139190674,5.23767614364624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.8e-05,2883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.1062982082366943,0.290962278842926,2.969686269760132,0.33011510968208313,2.7362639904022217,0.2873955965042114,2.857602119445801,0.32669323682785034,2.716675043106079,0.3026212751865387,0.08990629762411118,2.713400363922119,3.4772610664367676,2.845907211303711,0.2873955965042114,0.2602739632129669,3.06563138961792,0.2346845418214798,3.114175319671631,0.3273477256298065,2.755195140838623,0.3441541790962219,2.6772665977478027,0.2539682686328888,2.9915363788604736,0.29806679487228394,0.07767569273710251,2.6654646396636963,3.468881130218506,2.8643531799316406,0.2346845418214798
3,,3843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3013803958892822,0.2563912272453308,3.0373764038085938,4.688051223754883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.400000000000001e-05,3844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
