epoch,lr-Adam,lr-Adam-1,step,train/train-hr-domain-acc,train/train-hr-domain-acc-africa,train/train-hr-domain-acc-americas,train/train-hr-domain-acc-asia,train/train-hr-domain-acc-europe,train/train-hr-domain-acc-oceania,train/train-hr-domain-acc-other,train/train-hr-domain-loss,train/train-task-acc,train/train-task-loss,val/val-id-hr-domain-acc,val/val-id-hr-domain-acc-africa,val/val-id-hr-domain-acc-americas,val/val-id-hr-domain-acc-asia,val/val-id-hr-domain-acc-europe,val/val-id-hr-domain-acc-oceania,val/val-id-region-africa-task-acc,val/val-id-region-africa-task-loss,val/val-id-region-americas-task-acc,val/val-id-region-americas-task-loss,val/val-id-region-asia-task-acc,val/val-id-region-asia-task-loss,val/val-id-region-europe-task-acc,val/val-id-region-europe-task-loss,val/val-id-region-oceania-task-acc,val/val-id-region-oceania-task-loss,val/val-id-task-acc,val/val-id-task-ece,val/val-id-task-entropy-correct,val/val-id-task-entropy-incorrect,val/val-id-task-loss,val/val-id-worst-group-task-acc,val/val-od-hr-domain-acc,val/val-od-hr-domain-acc-africa,val/val-od-hr-domain-acc-americas,val/val-od-hr-domain-acc-asia,val/val-od-hr-domain-acc-europe,val/val-od-hr-domain-acc-oceania,val/val-od-region-africa-task-acc,val/val-od-region-africa-task-loss,val/val-od-region-americas-task-acc,val/val-od-region-americas-task-loss,val/val-od-region-asia-task-acc,val/val-od-region-asia-task-loss,val/val-od-region-europe-task-acc,val/val-od-region-europe-task-loss,val/val-od-region-oceania-task-acc,val/val-od-region-oceania-task-loss,val/val-od-task-acc,val/val-od-task-ece,val/val-od-task-entropy-correct,val/val-od-task-entropy-incorrect,val/val-od-task-loss,val/val-od-worst-group-task-acc
,2e-05,1e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,600,,,,,,,,,,,0.2938256561756134,0.0,0.36508452892303467,0.48941701650619507,0.1771070659160614,0.0,0.3210526406764984,3.7724721431732178,0.14239272475242615,3.8576672077178955,0.06721128523349762,3.953968048095703,0.08314350992441177,3.881906270980835,0.12749004364013672,3.9158966541290283,0.100148044526577,0.05264364182949066,4.032588958740234,4.0297393798828125,3.8921234607696533,0.06721128523349762,0.29189053177833557,0.0,0.358274906873703,0.5047318339347839,0.17873771488666534,0.0,0.10958904027938843,3.925079345703125,0.12145687639713287,3.878831148147583,0.07134190946817398,3.9317729473114014,0.08561821281909943,3.85158634185791,0.16883116960525513,3.847426176071167,0.09831785410642624,0.0508580282330513,4.030031204223633,4.0307817459106445,3.8807265758514404,0.07134190946817398
0,,,600,0.1891937553882599,0.19216181337833405,0.014971630647778511,0.6404626965522766,0.07232306897640228,0.0,0.0,1.7427021265029907,0.08507344126701355,4.0050530433654785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1201,,,,,,,,,,,0.43882259726524353,0.0,0.08972691744565964,0.10248792916536331,0.8517463803291321,0.0,0.3368421196937561,3.60129451751709,0.14206762611865997,3.7850565910339355,0.07723727822303772,3.8985140323638916,0.08731966465711594,3.808286190032959,0.12749004364013672,3.8544864654541016,0.10458939522504807,0.0307250265032053,3.919376850128174,3.9122262001037598,3.8219921588897705,0.07723727822303772,0.3894049823284149,0.0,0.09402620792388916,0.09415190666913986,0.8729953169822693,0.0,0.10585305094718933,3.853451728820801,0.12176165729761124,3.8082542419433594,0.07328318059444427,3.8749372959136963,0.09454216063022614,3.7716450691223145,0.16017316281795502,3.764791250228882,0.1018327921628952,0.02806239388883114,3.914641857147217,3.9153828620910645,3.8092219829559326,0.07328318059444427
1,,,1201,0.2756592929363251,0.09608090668916702,0.21305964887142181,0.4040934443473816,0.26915785670280457,0.0,0.0,1.4990229606628418,0.1003473699092865,3.842696189880371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1802,,,,,,,,,,,0.46956369280815125,0.0,0.0006501950556412339,0.0950612723827362,0.9745634198188782,0.0,0.3684210479259491,3.5169153213500977,0.13849154114723206,3.7578935623168945,0.09246193617582321,3.858936309814453,0.10801062732934952,3.7687973976135254,0.12350597977638245,3.8022828102111816,0.11712966859340668,0.036173079162836075,3.884584426879883,3.8741869926452637,3.784797430038452,0.09246193617582321,0.39613357186317444,0.0,0.0,0.084445521235466,0.9752974510192871,0.0,0.14570361375808716,3.8129358291625977,0.12099969387054443,3.77834153175354,0.08517350256443024,3.840256452560425,0.133988618850708,3.7247021198272705,0.16161616146564484,3.7185556888580322,0.1210143119096756,0.0400829054415226,3.881913661956787,3.8794472217559814,3.770787477493286,0.08517350256443024
2,,,1802,0.3349466025829315,0.06405393779277802,0.14838124811649323,0.3027682602405548,0.4922928214073181,0.0,0.0,1.3721132278442383,0.10945448279380798,3.7957489490509033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
