epoch,lr-Adam,lr-Adam-1,step,train/train-lr-domain-acc,train/train-lr-domain-acc-africa,train/train-lr-domain-acc-americas,train/train-lr-domain-acc-asia,train/train-lr-domain-acc-europe,train/train-lr-domain-acc-oceania,train/train-lr-domain-acc-other,train/train-lr-domain-loss,train/train-task-acc,train/train-task-loss,val/val-id-lr-domain-acc,val/val-id-lr-domain-acc-africa,val/val-id-lr-domain-acc-americas,val/val-id-lr-domain-acc-asia,val/val-id-lr-domain-acc-europe,val/val-id-lr-domain-acc-oceania,val/val-id-region-africa-task-acc,val/val-id-region-africa-task-loss,val/val-id-region-americas-task-acc,val/val-id-region-americas-task-loss,val/val-id-region-asia-task-acc,val/val-id-region-asia-task-loss,val/val-id-region-europe-task-acc,val/val-id-region-europe-task-loss,val/val-id-region-oceania-task-acc,val/val-id-region-oceania-task-loss,val/val-id-task-acc,val/val-id-task-ece,val/val-id-task-entropy-correct,val/val-id-task-entropy-incorrect,val/val-id-task-loss,val/val-id-worst-group-task-acc,val/val-od-lr-domain-acc,val/val-od-lr-domain-acc-africa,val/val-od-lr-domain-acc-americas,val/val-od-lr-domain-acc-asia,val/val-od-lr-domain-acc-europe,val/val-od-lr-domain-acc-oceania,val/val-od-region-africa-task-acc,val/val-od-region-africa-task-loss,val/val-od-region-americas-task-acc,val/val-od-region-americas-task-loss,val/val-od-region-asia-task-acc,val/val-od-region-asia-task-loss,val/val-od-region-europe-task-acc,val/val-od-region-europe-task-loss,val/val-od-region-oceania-task-acc,val/val-od-region-oceania-task-loss,val/val-od-task-acc,val/val-od-task-ece,val/val-od-task-entropy-correct,val/val-od-task-entropy-incorrect,val/val-od-task-loss,val/val-od-worst-group-task-acc
,2.0000000000000003e-06,1.0000000000000002e-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1200,,,,,,,,,,,0.18766872584819794,0.057894736528396606,0.24447333812713623,0.009283327497541904,0.25778284668922424,0.03585657477378845,0.4421052634716034,2.6149158477783203,0.19668400287628174,3.479235887527466,0.212773859500885,3.250227928161621,0.20558086037635803,3.3501384258270264,0.13944223523139954,3.643372058868408,0.20726290345191956,0.04197394847869873,3.3723227977752686,3.6619110107421875,3.3555641174316406,0.13944223523139954,0.23771026730537415,0.049813199788331985,0.2663821876049042,0.0063091483898460865,0.3770046532154083,0.007215007208287716,0.1668742150068283,3.5922434329986572,0.14279183745384216,3.6077518463134766,0.17617082595825195,3.4424667358398438,0.23473875224590302,3.3478996753692627,0.1587301641702652,3.645423173904419,0.18689429759979248,0.03311631828546524,3.422999143600464,3.6909196376800537,3.4735565185546875,0.14279183745384216
0,,,1200,0.2203400880098343,0.053729455918073654,0.22343012690544128,0.003930597100406885,0.3453010022640228,0.04448506981134415,0.0,1.7162730693817139,0.15400128066539764,3.617558240890503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0000000000000003e-06,1.0000000000000002e-06,1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2401,,,,,,,,,,,0.13080205023288727,0.13684210181236267,0.1326397955417633,0.0048273298889398575,0.19248291850090027,0.16334661841392517,0.4578947424888611,2.442300319671631,0.21846553683280945,3.281914710998535,0.2933531403541565,2.969365358352661,0.23101747035980225,3.1736316680908203,0.22310757637023926,3.39162015914917,0.24575459957122803,0.042417287826538086,3.0710017681121826,3.5253117084503174,3.147331714630127,0.21846553683280945,0.19653527438640594,0.14943960309028625,0.12191405147314072,0.00897840317338705,0.37183135747909546,0.11832612007856369,0.18555417656898499,3.527686834335327,0.16519354283809662,3.4777679443359375,0.21839359402656555,3.2839927673339844,0.2490946650505066,3.2189743518829346,0.1659451723098755,3.5591530799865723,0.20959076285362244,0.03193872421979904,3.210883140563965,3.5804386138916016,3.342224597930908,0.16519354283809662
1,,,2401,0.19000689685344696,0.09639696776866913,0.20812472701072693,0.008703464642167091,0.2821260392665863,0.06672760844230652,0.0,1.7824078798294067,0.23514564335346222,3.207000255584717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0000000000000003e-06,1.0000000000000002e-06,2402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3602,,,,,,,,,,,0.09100409597158432,0.2947368323802948,0.07802340388298035,0.020423319190740585,0.1256643831729889,0.12749004364013672,0.4526315927505493,2.348151922225952,0.23146943747997284,3.1844866275787354,0.31711846590042114,2.822793483734131,0.24829156696796417,3.0774219036102295,0.2310757040977478,3.2438628673553467,0.26282331347465515,0.037938788533210754,2.846910238265991,3.4509944915771484,3.0378081798553467,0.2310757040977478,0.1436605602502823,0.270236611366272,0.06705272942781448,0.026935210451483727,0.2565959692001343,0.15728715062141418,0.19302615523338318,3.4873509407043457,0.1725083887577057,3.4198760986328125,0.23683571815490723,3.2236804962158203,0.25465598702430725,3.1375696659088135,0.17171716690063477,3.5178446769714355,0.21847853064537048,0.020774923264980316,3.002697706222534,3.510122060775757,3.275946617126465,0.17171716690063477
2,,,3602,0.16572342813014984,0.15191739797592163,0.17948473989963531,0.015310610644519329,0.23852060735225677,0.09445460140705109,0.0317460335791111,1.8320488929748535,0.2648738622665405,3.028557300567627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0000000000000003e-06,1.0000000000000002e-06,3603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
