epoch,lr-Adam,lr-Adam-1,lr-Adam-2,step,train/train-hr-domain-acc,train/train-hr-domain-acc-africa,train/train-hr-domain-acc-americas,train/train-hr-domain-acc-asia,train/train-hr-domain-acc-europe,train/train-hr-domain-acc-oceania,train/train-hr-domain-acc-other,train/train-hr-domain-loss,train/train-lr-domain-acc,train/train-lr-domain-acc-africa,train/train-lr-domain-acc-americas,train/train-lr-domain-acc-asia,train/train-lr-domain-acc-europe,train/train-lr-domain-acc-oceania,train/train-lr-domain-acc-other,train/train-lr-domain-loss,train/train-task-acc,train/train-task-loss,val/val-id-hr-domain-acc,val/val-id-hr-domain-acc-africa,val/val-id-hr-domain-acc-americas,val/val-id-hr-domain-acc-asia,val/val-id-hr-domain-acc-europe,val/val-id-hr-domain-acc-oceania,val/val-id-lr-domain-acc,val/val-id-lr-domain-acc-africa,val/val-id-lr-domain-acc-americas,val/val-id-lr-domain-acc-asia,val/val-id-lr-domain-acc-europe,val/val-id-lr-domain-acc-oceania,val/val-id-region-africa-task-acc,val/val-id-region-africa-task-loss,val/val-id-region-africa-top5-task-acc,val/val-id-region-americas-task-acc,val/val-id-region-americas-task-loss,val/val-id-region-americas-top5-task-acc,val/val-id-region-asia-task-acc,val/val-id-region-asia-task-loss,val/val-id-region-asia-top5-task-acc,val/val-id-region-europe-task-acc,val/val-id-region-europe-task-loss,val/val-id-region-europe-top5-task-acc,val/val-id-region-oceania-task-acc,val/val-id-region-oceania-task-loss,val/val-id-region-oceania-top5-task-acc,val/val-id-task-acc,val/val-id-task-ece,val/val-id-task-entropy-correct,val/val-id-task-entropy-incorrect,val/val-id-task-loss,val/val-id-top5-task-acc,val/val-id-worst-group-task-acc,val/val-id-worst-group-top5-task-acc,val/val-od-hr-domain-acc,val/val-od-hr-domain-acc-africa,val/val-od-hr-domain-acc-americas,val/val-od-hr-domain-acc-asia,val/val-od-hr-domain-acc-europe,val/val-od-hr-domain-acc-oceania,val/val-od-lr-domain-acc,val/val-od-lr-domain-acc-africa,val/val-od-lr-domain-acc-americas,val/val-od-lr-domain-acc-asia,val/val-od-lr-domain-acc-europe,val/val-od-lr-domain-acc-oceania,val/val-od-region-africa-task-acc,val/val-od-region-africa-task-loss,val/val-od-region-africa-top5-task-acc,val/val-od-region-americas-task-acc,val/val-od-region-americas-task-loss,val/val-od-region-americas-top5-task-acc,val/val-od-region-asia-task-acc,val/val-od-region-asia-task-loss,val/val-od-region-asia-top5-task-acc,val/val-od-region-europe-task-acc,val/val-od-region-europe-task-loss,val/val-od-region-europe-top5-task-acc,val/val-od-region-oceania-task-acc,val/val-od-region-oceania-task-loss,val/val-od-region-oceania-top5-task-acc,val/val-od-task-acc,val/val-od-task-ece,val/val-od-task-entropy-correct,val/val-od-task-entropy-incorrect,val/val-od-task-loss,val/val-od-top5-task-acc,val/val-od-worst-group-task-acc,val/val-od-worst-group-top5-task-acc
,2e-05,1e-05,1e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,960,,,,,,,,,,,,,,,,,,,0.5170251727104187,0.0,0.29193758964538574,0.2157445251941681,0.8462414741516113,0.0,0.9961682558059692,0.9157894849777222,1.0,0.9933159947395325,0.9990508556365967,1.0,0.5684210658073425,1.6299532651901245,0.7789473533630371,0.39239272475242615,2.4180049896240234,0.6654746532440186,0.298923134803772,3.06112003326416,0.6854808926582336,0.32858771085739136,2.819929838180542,0.6072513461112976,0.5537848472595215,1.7885961532592773,0.8645418286323547,0.347818523645401,0.18596795201301575,1.238976240158081,2.20332670211792,2.7259857654571533,0.6497430801391602,0.298923134803772,0.6072513461112976,0.46683403849601746,0.0,0.2660774290561676,0.22858528792858124,0.8547594547271729,0.0,0.9719306826591492,0.7708593010902405,0.9879609942436218,0.9898083209991455,0.968960165977478,0.9855700135231018,0.3574097156524658,2.263712167739868,0.7334993481636047,0.3526363968849182,2.5834546089172363,0.6491923332214355,0.27978646755218506,2.9186019897460938,0.6937636733055115,0.3766166567802429,2.5263330936431885,0.6218313574790955,0.4357864260673523,2.1693313121795654,0.7835497856140137,0.3499874472618103,0.1333378255367279,1.3662784099578857,2.4306528568267822,2.6035780906677246,0.6558372974395752,0.27978646755218506,0.6218313574790955
0,,,,960,0.43781793117523193,0.0025284450966864824,0.15562866628170013,0.1006794348359108,0.8210592865943909,0.0,0.1190476194024086,1.326951026916504,0.9883168935775757,0.8691529631614685,0.9951366186141968,0.9862990379333496,0.9932215213775635,0.9561243057250977,0.1190476194024086,0.18776728212833405,0.2864447236061096,2.9605836868286133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,1e-05,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,1921,,,,,,,,,,,,,,,,,,,0.5637028813362122,0.0,0.4252275824546814,0.3011511266231537,0.8264996409416199,0.0,0.9982582926750183,0.9631578922271729,1.0,0.9996286630630493,0.9986712336540222,1.0,0.6263157725334167,1.367006778717041,0.8736842274665833,0.48407021164894104,2.0012269020080566,0.786736011505127,0.3208317756652832,3.012174129486084,0.763832151889801,0.40299925208091736,2.5570709705352783,0.6753986477851868,0.6613546013832092,1.481971263885498,0.892430305480957,0.4149612486362457,0.2081141173839569,0.9547500610351562,1.7234104871749878,2.4711410999298096,0.7340416312217712,0.3208317756652832,0.6753986477851868,0.5175998210906982,0.0,0.3953063189983368,0.3317156136035919,0.8208742737770081,0.0,0.9723324179649353,0.8057284951210022,0.9873514175415039,0.9915069341659546,0.9659855365753174,0.9855700135231018,0.47073474526405334,1.9357041120529175,0.8069738745689392,0.4449862837791443,2.2683205604553223,0.7512953281402588,0.3062363564968109,3.0302984714508057,0.7551565170288086,0.45305225253105164,2.2152538299560547,0.7152095437049866,0.5252525210380554,1.81112802028656,0.8340548276901245,0.4232487976551056,0.16870474815368652,1.0760082006454468,1.8931571245193481,2.3761258125305176,0.7431584000587463,0.3062363564968109,0.7152095437049866
1,,,,1921,0.488219290971756,0.0012642225483432412,0.24581605195999146,0.17446234822273254,0.8403894901275635,0.0,0.0595238097012043,1.1047807931900024,0.9914718270301819,0.9007585048675537,0.997210681438446,0.9896119832992554,0.9951315522193909,0.9704448580741882,0.1190476194024086,0.10254114866256714,0.4720086455345154,2.0305159091949463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,1e-05,1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,2882,,,,,,,,,,,,,,,,,,,0.592789351940155,0.010526316240429878,0.4275032579898834,0.32900112867355347,0.8739559650421143,0.0,0.9985195398330688,0.9789473414421082,1.0,0.9996286630630493,0.9986712336540222,1.0,0.6368421316146851,1.3193669319152832,0.9052631855010986,0.5513654351234436,1.715163230895996,0.8394018411636353,0.38173040747642517,2.6226446628570557,0.8069068193435669,0.44684889912605286,2.317817211151123,0.7205770611763,0.6613546013832092,1.3818542957305908,0.892430305480957,0.467560738325119,0.18097975850105286,0.8568543791770935,1.6365268230438232,2.190315008163452,0.7795872092247009,0.38173040747642517,0.7205770611763,0.5414511561393738,0.0,0.39728739857673645,0.36593058705329895,0.8623900413513184,0.0,0.9733366966247559,0.8007472157478333,0.986741840839386,0.9941761493682861,0.9681841731071472,0.9855700135231018,0.4806973934173584,1.8359102010726929,0.8443337678909302,0.4998476207256317,2.0162265300750732,0.8028040528297424,0.3647173047065735,2.85164213180542,0.7959232926368713,0.4919813871383667,2.0017995834350586,0.7568546533584595,0.5815295577049255,1.5907456874847412,0.8643578886985779,0.47090134024620056,0.1612752228975296,0.925628125667572,1.7263669967651367,2.1614136695861816,0.7873462438583374,0.3647173047065735,0.7568546533584595
2,,,,2882,0.5168546438217163,0.0010535187320783734,0.30461385846138,0.21796095371246338,0.8459712266921997,0.0,0.0396825410425663,1.037172555923462,0.9919163584709167,0.9106616377830505,0.9975206255912781,0.9899863600730896,0.9950405955314636,0.9754214882850647,0.1269841343164444,0.08215456455945969,0.5601264834403992,1.6376776695251465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,1e-05,2883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
